2025-06-07 20:21:07 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-06-07 20:21:07 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-06-07 20:21:07 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api/v1/ï¿½uth] - Initializing Spring embedded WebApplicationContext
2025-06-07 20:21:07 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4808 ms
2025-06-07 20:21:08 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-07 20:21:08 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2025-06-07 20:21:09 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-06-07 20:21:09 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2d4cbda7
2025-06-07 20:21:09 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-07 20:21:09 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2025-06-07 20:21:12 [restartedMain] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-06-07 20:21:12 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-07 20:21:14 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-06-07 20:21:16 [restartedMain] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-06-07 20:21:16 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@fa300f9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@c6b1b2b, org.springframework.security.web.context.SecurityContextHolderFilter@2e7c7f9c, org.springframework.security.web.header.HeaderWriterFilter@1030d78, org.springframework.security.web.authentication.logout.LogoutFilter@b0f7855, sn.seck.GestionCliniqueKissi.Service.JWTAuthenticationFilter@47efca4e, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3aef539c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4a23376d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4407ecff, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66e7143d, org.springframework.security.web.session.SessionManagementFilter@61c3ec2e, org.springframework.security.web.access.ExceptionTranslationFilter@5124d129, org.springframework.security.web.access.intercept.AuthorizationFilter@41657073]
2025-06-07 20:21:18 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-06-07 20:21:18 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8135"]
2025-06-07 20:21:18 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8135 (http) with context path '/api/v1/ï¿½uth'
2025-06-07 20:21:18 [restartedMain] INFO  sn.seck.GestionCliniqueKissi.GestionCliniqueKissiApplication - Started GestionCliniqueKissiApplication in 17.26 seconds (process running for 20.563)
2025-06-07 20:21:19 [RMI TCP Connection(3)-192.168.100.23] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api/v1/ï¿½uth] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-07 20:21:19 [RMI TCP Connection(3)-192.168.100.23] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-07 20:21:19 [RMI TCP Connection(3)-192.168.100.23] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
